article_id,url,canonical_url,title,publisher,authors,published_at,fetched_at,content_hash,checked_at,model,effort,verdict,summary,error_tags,severities,findings,sources_consulted
d9432c0689e6667e8206,https://changelog.complete.org/archives/44456-celebrating-45-years-of-kermit-with-the-first-new-c-kermit-release-in-15-years-and-working-with-a-decades-old-c-codebase,https://changelog.complete.org/archives/44456-celebrating-45-years-of-kermit-with-the-first-new-c-kermit-release-in-15-years-and-working-with-a-decades-old-c-codebase,Celebrating 45 Years of Kermit with the First New C-Kermit Release in 15 Years (and working with a decades-old C codebase) | The Changelog,changelog.complete.org,[],,2026-08-04T10:23:49+00:00,ab42570335ea7cc252620421782c616721aad58b426b692bdfc3d061d8dd7f36,2026-08-04T10:25:56+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"A representative review of the article’s discrete claims found no decisive factual errors. Primary Kermit records support the 1981 origin, 2011 Columbia cancellation and BSD licensing, C-Kermit 9.0.302’s August 2011 release, continued beta development through March 2025, and deployments including the ISS, hurricane research, postal systems, and Boeing 787 manufacturing. Open Kermit and Debian records support the 2026 C-Kermit 11 release and John Goerzen’s maintainership.",[],[],[],"[{""title"": ""Kermit - What is it?"", ""publisher"": ""The Kermit Project"", ""url"": ""https://www.kermitproject.org/kermit.html""}, {""title"": ""C-Kermit 9.0 communications software"", ""publisher"": ""The Kermit Project"", ""url"": ""https://www.kermitproject.org/ck90.html""}, {""title"": ""CKDAILY - C-Kermit Daily Source-Code Archive"", ""publisher"": ""The Kermit Project"", ""url"": ""https://www.kermitproject.org/ckdaily.html""}, {""title"": ""Open Kermit Project"", ""publisher"": ""Open Kermit Project"", ""url"": ""https://www.openkermit.org/""}, {""title"": ""History of Kermit"", ""publisher"": ""Open Kermit Project"", ""url"": ""https://www.openkermit.org/history/""}, {""title"": ""C-KERMIT 11 from the Open Kermit project"", ""publisher"": ""OpenKermit on GitHub"", ""url"": ""https://raw.githubusercontent.com/OpenKermit/ckermit/master/README.md""}, {""title"": ""ckermit - Debian Package Tracker"", ""publisher"": ""Debian"", ""url"": ""https://tracker.debian.org/pkg/ckermit""}, {""title"": ""Origin of the term Emacs"", ""publisher"": ""GNU Project"", ""url"": ""https://www.gnu.org/software/emacs/manual/html_node/efaq/Origin-of-the-term-Emacs.html""}]"
22d6004b2d07bd7fd42e,https://clickhouse.com/blog/andy-pavlo-joins-clickhouse,https://clickhouse.com/blog/andy-pavlo-joins-clickhouse,Andy Pavlo joins ClickHouse to establish ClickHouse Labs | ClickHouse,ClickHouse,"[""Andy Pavlo""]",2026-08-03T13:33:44.646Z,2026-08-04T10:19:30+00:00,d27dcf1a2ce9b0b98271c442f3ebfa6468c3edbc503325f3863c0ffbfbaf8673,2026-08-04T10:23:41+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"A representative check of the article's discrete claims found no obvious high-confidence errors. Institutional and primary records support Pavlo's Carnegie Mellon affiliation and 2013 teaching record, ClickHouse's June 2016 public open-source history and 2021 corporate incorporation, the existence and architectural scope of the 2024 PVLDB paper, and the Run the Jewels analogy involving El-P and Killer Mike.",[],[],[],"[{""title"": ""Andy Pavlo - Carnegie Mellon University"", ""publisher"": ""Carnegie Mellon University"", ""url"": ""https://www.cs.cmu.edu/~pavlo/""}, {""title"": ""Our Story"", ""publisher"": ""ClickHouse"", ""url"": ""https://clickhouse.com/company/our-story""}, {""title"": ""Commits \u00b7 ClickHouse/ClickHouse \u00b7 GitHub (June 1-15, 2016)"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/ClickHouse/ClickHouse/commits/master/?since=2016-06-01&until=2016-06-15""}, {""title"": ""Yandex opens ClickHouse"", ""publisher"": ""Yandex on Habr"", ""url"": ""https://habr.com/ru/companies/yandex/articles/303282/""}, {""title"": ""ClickHouse - Lightning Fast Analytics for Everyone"", ""publisher"": ""Proceedings of the VLDB Endowment"", ""url"": ""https://www.vldb.org/pvldb/vol17/p3731-schulze.pdf""}, {""title"": ""dblp: ClickHouse - Lightning Fast Analytics for Everyone"", ""publisher"": ""DBLP / Schloss Dagstuhl \u2013 Leibniz Center for Informatics"", ""url"": ""https://dblp.org/rec/journals/pvldb/SchulzeSYDM24.html""}, {""title"": ""About - Run The Jewels"", ""publisher"": ""Run the Jewels"", ""url"": ""https://runthejewels.com/pages/about""}, {""title"": ""GitHub - ClickHouse/ClickHouse"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/ClickHouse/ClickHouse""}]"
11afc4a344ea0a9b6e1e,https://chipsandcheese.com/p/rosaiclabs-atom-rtl-and-32-tile-amx,https://chipsandcheese.com/p/rosaiclabs-atom-rtl-and-32-tile-amx,"RosaicLabs, Atom RTL, and 32-Tile AMX: Trying to Piece Together a x86 Puzzle",Chips and Cheese,"[""George Cozma""]",2026-07-31T01:39:23+00:00,2026-08-04T10:17:32+00:00,a696e9f9a2dcebc73311b98450d83c9a862cc1838195628b87ef54c194700d26,2026-08-04T10:20:35+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"A representative check of the article's central discrete claims found no decisive factual contradiction. Contemporaneous coverage matches the July 27 mailing-list date, Christian Ludloff's quoted statements, the existence of 16- and 32-tile implementations, and Intel's eight-tile AMX baseline; the x86 Ecosystem Advisory Group's ACE whitepaper supports the article's description of eight tile registers and reuse of the AMX palette framework.",[],[],[],"[{""title"": ""RosaicLabs, Atom RTL, and 32-Tile AMX: Trying to Piece Together a x86 Puzzle"", ""publisher"": ""Chips and Cheese"", ""url"": ""https://chipsandcheese.com/p/rosaiclabs-atom-rtl-and-32-tile-amx""}, {""title"": ""Mysterious 16-Tile & 32-Tile AMX Implementations Talked Up For More Performance"", ""publisher"": ""Phoronix"", ""url"": ""https://www.phoronix.com/news/16-Tile-32-Tile-AMX-Performance""}, {""title"": ""The AI Compute Extensions (ACE) for x86"", ""publisher"": ""x86 Ecosystem Advisory Group"", ""url"": ""https://x86ecosystem.org/wp-content/uploads/2026/03/ACE-Whitepaper-v1.pdf""}, {""title"": ""The Binutils October 2025 Archive by thread"", ""publisher"": ""Sourceware"", ""url"": ""https://sourceware.org/pipermail/binutils/2025-October/thread.html""}]"
775806d13c9377f5bf81,https://ankursethi.com/blog/prevent-cognitive-debt-by-manually-retyping-llm-generated-code/,https://ankursethi.com/blog/prevent-cognitive-debt-by-manually-retyping-llm-generated-code/,Prevent cognitive debt by manually retyping LLM-generated code — Ankur Sethi's Lab Notebook,Ankur Sethi's Lab Notebook,"[""Ankur Sethi""]",2026-08-02T14:53:36.721516+05:30,2026-08-04T10:19:00+00:00,3ec4f86987ef06c3ef23cd9a57c8a0108168a57f00b157547b98b972761256d1,2026-08-04T10:20:20+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"The article is primarily a first-person account and argument. Its checkable claims about the author's workflow, speed, understanding, and past experience are personal or explicitly approximate, while broader statements about cognitive debt and industry practice are predictions or framing. Research on AI-assisted work reports context-dependent effects and does not decisively contradict any discrete factual claim in the article.",[],[],[],"[{""title"": ""Prevent cognitive debt by manually retyping LLM-generated code"", ""publisher"": ""Ankur Sethi's Lab Notebook"", ""url"": ""https://ankursethi.com/blog/prevent-cognitive-debt-by-manually-retyping-llm-generated-code/""}, {""title"": ""Blog archive"", ""publisher"": ""Ankur Sethi's Lab Notebook"", ""url"": ""https://ankursethi.com/blog/""}, {""title"": ""Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity"", ""publisher"": ""METR"", ""url"": ""https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/""}, {""title"": ""Research: quantifying GitHub Copilot\u2019s impact on developer productivity and happiness"", ""publisher"": ""GitHub"", ""url"": ""https://github.blog/news-insights/research/research-quantifying-github-copilots-impact-on-developer-productivity-and-happiness/""}, {""title"": ""The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers"", ""publisher"": ""Microsoft Research"", ""url"": ""https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking-self-reported-reductions-in-cognitive-effort-and-confidence-effects-from-a-survey-of-knowledge-workers/""}, {""title"": ""Your Brain on ChatGPT: Accumulation of Cognitive Debt when Using an AI Assistant for Essay Writing Task"", ""publisher"": ""arXiv"", ""url"": ""https://arxiv.org/abs/2506.08872""}]"
e5e903aa32caf5fe7c3f,https://blog.comfy.org/p/minimax-h3-day-0-support-in-comfyui,https://blog.comfy.org/p/minimax-h3-day-0-support-in-comfyui,"MiniMax H3 Day-0 Support in ComfyUI: Open Weights, Native Audio, and 2K Video",ComfyUI Newsletter,"[""Rob"", ""Alexis Rolland""]",2026-08-03T02:55:11+00:00,2026-08-04T10:17:24+00:00,0c107d04690b147b1f3fbb192b9dea85f003a37652ff4e876a4fb2318f354cf6,2026-08-04T10:19:25+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"No obvious, high-confidence factual errors were found in the representative claims checked. MiniMax's official release materials corroborate H3's open release, multimodal inputs, jointly generated native stereo audio, 4–15 second output, and up-to-2K system capability; ComfyUI's official release and implementation records corroborate v0.30.0 support, joint audio-video inference, and 40%-smaller pruned checkpoint variants.",[],[],[],"[{""title"": ""Open General Intelligence: MiniMax H3 Is Now Open Source"", ""publisher"": ""MiniMax"", ""url"": ""https://www.minimax.io/news/minimax-h3-open-source""}, {""title"": ""MiniMaxAI/MiniMax-H3"", ""publisher"": ""MiniMax on Hugging Face"", ""url"": ""https://huggingface.co/MiniMaxAI/MiniMax-H3""}, {""title"": ""Comfy-Org/MiniMax-H3"", ""publisher"": ""Comfy Org on Hugging Face"", ""url"": ""https://huggingface.co/Comfy-Org/MiniMax-H3""}, {""title"": ""Release v0.30.0"", ""publisher"": ""Comfy-Org/ComfyUI on GitHub"", ""url"": ""https://github.com/Comfy-Org/ComfyUI/releases/tag/v0.30.0""}, {""title"": ""feat: Support MiniMax-H3 (CORE-375), Pull Request #15224"", ""publisher"": ""Comfy-Org/ComfyUI on GitHub"", ""url"": ""https://github.com/Comfy-Org/ComfyUI/pull/15224""}, {""title"": ""Support int8 convrot embedding lookup (CORE-371), Pull Request #15035"", ""publisher"": ""Comfy-Org/ComfyUI on GitHub"", ""url"": ""https://github.com/Comfy-Org/ComfyUI/pull/15035""}]"
0e938460bcf72997c937,https://blog.rootsofprogress.org/why-did-we-wait-so-long-for-the-bicycle,https://blog.rootsofprogress.org/why-did-we-wait-so-long-for-the-bicycle,Why did we wait so long for the bicycle?,The Roots of Progress,[],2019-07-13T19:19:18-07:00,2026-08-04T10:15:17+00:00,4ed213a6ef86d144956ca529e7531130011abb98134f56573ae4edcbf93f5c34,2026-08-04T10:19:25+00:00,gpt-5.6-sol,high,errors-found,A representative check of the article's bicycle chronology and enabling-technology claims found one clear error: pneumatic tires existed more than four decades before 1887. Robert William Thomson patented an air-filled tire in 1845; Dunlop later reinvented and successfully applied the pneumatic tire to bicycles in 1887–88.,"[""date-error""]","[""major""]","[{""id"": ""F1"", ""article_quote"": ""inflatable tires weren\u2019t invented until 1887."", ""location"": ""Opening \u201cTechnology factors\u201d paragraph"", ""correction"": ""Robert William Thomson patented the pneumatic tire in Britain on December 10, 1845; the corresponding U.S. patent was published May 8, 1847. John Boyd Dunlop reinvented the pneumatic tire for bicycles in 1887 and patented his version in 1888."", ""analysis"": ""The article confuses Dunlop\u2019s later bicycle-tire reinvention with the original invention. The surviving U.S. patent record predates 1887 by forty years, and two independent British industrial-history sources identify Thomson\u2019s 1845 British patent and distinguish it from Dunlop\u2019s later work. This is a decisive date error, not a dispute over attribution or terminology."", ""severity"": ""major"", ""category"": ""date-error"", ""evidence_basis"": ""authoritative-primary-source"", ""confidence"": ""high"", ""sources"": [{""title"": ""US5104A - Improvement in carriage-wheels"", ""publisher"": ""Google Patents (United States patent record)"", ""url"": ""https://patents.google.com/patent/US5104A/en"", ""quote"": ""Publication number US5104A ... Prior art keywords wheels, elastic, tire, belt, wheel ... Publication date 1847-05-08.""}, {""title"": ""Robert William Thomson"", ""publisher"": ""Grace\u2019s Guide to British Industrial History"", ""url"": ""https://www.gracesguide.co.uk/Robert_William_Thomson"", ""quote"": ""1845 Thomson patented the pneumatic tyre. ... Dunlop was granted a patent in 1888 but two years later was officially informed that it was invalid as Thomson's patent preceded it.""}, {""title"": ""Robert William Thomson, Scotland's forgotten inventor"", ""publisher"": ""Historic UK"", ""url"": ""https://www.historic-uk.com/HistoryUK/HistoryofScotland/Robert-William-Thomson/"", ""quote"": ""the pneumatic tyre was in fact patented ... [by] Robert William Thomson on 10 December 1845, some 43 years before John Dunlop\u2019s re-invention.""}]}]","[{""title"": ""US5104A - Improvement in carriage-wheels"", ""publisher"": ""Google Patents"", ""url"": ""https://patents.google.com/patent/US5104A/en""}, {""title"": ""Robert William Thomson"", ""publisher"": ""Grace\u2019s Guide to British Industrial History"", ""url"": ""https://www.gracesguide.co.uk/Robert_William_Thomson""}, {""title"": ""Robert William Thomson, Scotland's forgotten inventor"", ""publisher"": ""Historic UK"", ""url"": ""https://www.historic-uk.com/HistoryUK/HistoryofScotland/Robert-William-Thomson/""}, {""title"": ""Volcanoes Can Affect Climate"", ""publisher"": ""U.S. Geological Survey"", ""url"": ""https://www.usgs.gov/programs/VHP/volcanoes-can-affect-climate""}]"
bce1a49c2f6e32d5d427,https://ochagavia.nl/blog/that-time-when-i-failed-the-microsoft-interview/,https://ochagavia.nl/blog/that-time-when-i-failed-the-microsoft-interview/,That time when I failed the Microsoft interview,Adolfo Ochagavía,[],2026-07-28T00:00:00+00:00,2026-08-04T10:16:35+00:00,eeafc95907475d073472facc25e97f993740b90dc915e3ab55dc6a5a340e54d3,2026-08-04T10:18:55+00:00,gpt-5.6-sol,high,no-obvious-errors-found,A representative check of the article's limited externally verifiable claims found no decisive factual error. Microsoft's April 2014 TypeScript announcement supports the project's pre-2015 existence; the Roslyn repository identifies Roslyn as the open-source C# and Visual Basic compiler implementation; Eric Lippert's biography confirms he had left Microsoft; Joe Duffy's dated 2015 posts are consistent with his presence in the relevant Microsoft-era technical context; and the standard 12-object balance puzzle is solvable in three weighings. The interview narrative and quoted private emails are personal recollections that public sources cannot independently verify.,[],[],[],"[{""title"": ""Announcing TypeScript 1.0"", ""publisher"": ""Microsoft TypeScript Blog"", ""url"": ""https://devblogs.microsoft.com/typescript/announcing-typescript-1-0/""}, {""title"": ""The .NET Compiler Platform"", ""publisher"": ""dotnet project on GitHub"", ""url"": ""https://github.com/dotnet/roslyn""}, {""title"": ""About Eric Lippert"", ""publisher"": ""Eric Lippert"", ""url"": ""https://ericlippert.com/about-eric-lippert/""}, {""title"": ""Joe Duffy - Blog"", ""publisher"": ""Joe Duffy"", ""url"": ""https://joeduffyblog.com/""}, {""title"": ""Balance puzzle"", ""publisher"": ""Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Balance_puzzle""}]"
7f0d0f5d5d6145be4e94,https://bumbershootsoft.wordpress.com/2026/05/30/zx-spectrum-system-tour-text-mode/,https://bumbershootsoft.wordpress.com/2026/05/30/zx-spectrum-system-tour-text-mode/,ZX Spectrum System Tour: Text Mode,Bumbershoot Software,[],2026-05-30T19:30:00+00:00,2026-08-04T10:14:11+00:00,ebcb1bc8ed3b0604b63c676142412dc3577a51caeae6898d08590e5def7dab0c,2026-08-04T10:17:26+00:00,gpt-5.6-sol,high,errors-found,"A representative check of the article's ZX Spectrum memory-map, system-variable, character-code, and ROM-printing claims found one clear address-offset error. The official Sinclair manual places the three-byte FRAMES counter at IY+62, not IY+64; the other sampled claims were broadly consistent with the documentation consulted.","[""number-error""]","[""minor""]","[{""id"": ""F1"", ""article_quote"": ""FRAMES, a 3-byte value at IY+64"", ""location"": ""\u201cReading Keypresses and Doing I/O,\u201d paragraph beginning \u201cAn interrupt fires every frame\u201d"", ""correction"": ""FRAMES begins at address 23672 ($5C78), which is IY+62 when IY is $5C3A. IY+64 is the third (most significant) byte of the three-byte FRAMES value, not its start."", ""analysis"": ""The article itself identifies IY as $5C3A (23610 decimal). Sinclair's official system-variable table places FRAMES at 23672 and defines it as three bytes. The difference is 62 bytes, so the documented base is IY+62. The claimed IY+64 points two bytes too far into the variable."", ""severity"": ""minor"", ""category"": ""number-error"", ""evidence_basis"": ""authoritative-primary-source"", ""confidence"": ""high"", ""sources"": [{""title"": ""ZX Spectrum BASIC Programming \u2014 Chapter 25: The system variables"", ""publisher"": ""Sinclair Research Limited (via World of Spectrum)"", ""url"": ""https://worldofspectrum.org/ZXBasicManual/zxmanchap25.html"", ""quote"": ""23672 FRAMES \u2014 3 byte (least significant first), frame counter. Incremented every 20ms.""}]}]","[{""title"": ""ZX Spectrum BASIC Programming \u2014 Chapter 25: The system variables"", ""publisher"": ""Sinclair Research Limited (via World of Spectrum)"", ""url"": ""https://worldofspectrum.org/ZXBasicManual/zxmanchap25.html""}, {""title"": ""ZX Spectrum BASIC Programming \u2014 Appendix A: The character set"", ""publisher"": ""Sinclair Research Limited (via World of Spectrum)"", ""url"": ""https://worldofspectrum.org/ZXBasicManual/zxmanappa.html""}, {""title"": ""Spectrum ROM: Routine at 02548"", ""publisher"": ""SkoolKit"", ""url"": ""https://skoolkit.ca/disassemblies/rom/asm/2548.html""}, {""title"": ""The Complete Spectrum ROM Disassembly"", ""publisher"": ""Spectrum Computing"", ""url"": ""https://spectrumcomputing.co.uk/entry/2000076/Book/ZX_Spectrum_BASIC_Programming""}]"
28fdaaf39e6fc5e317e6,https://pandoc.org/twenty-years-of-pandoc.html,https://pandoc.org/twenty-years-of-pandoc.html,Pandoc - twenty-years-of-pandoc,Pandoc,[],,2026-08-04T10:14:56+00:00,03be66b0ca46062e22e3c7de7738e4b91987948de1e847a5700015092c73e409,2026-08-04T10:17:19+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"A representative sample of the article's discrete claims—including Pandoc 1.9's 2012 docx support, the 2.19.1 web-server capability, Typst and djot support in 3.1.3 and 3.1.12, Typst's 2023 release timing, CommonMark's 2014 origins, and recent format/release history—was consistent with project release records and other primary sources. No high-confidence factual error meeting the specified standard was found.",[],[],[],"[{""title"": ""Twenty Years of Pandoc"", ""publisher"": ""Pandoc"", ""url"": ""https://pandoc.org/twenty-years-of-pandoc.html""}, {""title"": ""Pandoc Releases"", ""publisher"": ""Pandoc"", ""url"": ""https://pandoc.org/releases.html""}, {""title"": ""CommonMark"", ""publisher"": ""CommonMark"", ""url"": ""https://commonmark.org/""}, {""title"": ""pandoc 1.9 package record"", ""publisher"": ""Hackage"", ""url"": ""https://hackage.haskell.org/package/pandoc-1.9""}, {""title"": ""pandoc 2.0 package record"", ""publisher"": ""Hackage"", ""url"": ""https://hackage.haskell.org/package/pandoc-2.0""}, {""title"": ""pandoc 3.9 package record"", ""publisher"": ""Hackage"", ""url"": ""https://hackage.haskell.org/package/pandoc-3.9""}, {""title"": ""pandoc 3.10 package record"", ""publisher"": ""Hackage"", ""url"": ""https://hackage.haskell.org/package/pandoc-3.10""}, {""title"": ""Release pandoc 2.19.1"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/jgm/pandoc/releases/tag/2.19.1""}, {""title"": ""Release pandoc 3.1.3"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/jgm/pandoc/releases/tag/3.1.3""}, {""title"": ""Release pandoc 3.1.12"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/jgm/pandoc/releases/tag/3.1.12""}, {""title"": ""Version 0.1.0 (April 04, 2023)"", ""publisher"": ""Typst on GitHub"", ""url"": ""https://github.com/typst/typst/releases/tag/v0.1.0""}, {""title"": ""Closed issues for jgm/pandoc"", ""publisher"": ""GitHub"", ""url"": ""https://github.com/jgm/pandoc/issues?q=is%3Aissue%20state%3Aclosed""}]"
0f1a6267701c7d7de19b,https://blog.exe.dev/devtools-must-be-open-source,https://blog.exe.dev/devtools-must-be-open-source,Devtools must be open source - exe.dev blog,exe.dev,"[""David Crawshaw""]",2026-08-02,2026-08-04T10:14:33+00:00,db0d55626fbff1fde7883811dad70ed4fa108aa4fafb71a60ba646bbd65b8481,2026-08-04T10:16:29+00:00,gpt-5.6-sol,high,no-obvious-errors-found,"A representative check of the article's discrete factual claims found no decisive errors. Official project repositories and license files support that Codex, Pi, and Shelley are open source, while Anthropic's Claude Code license is all-rights-reserved; the Meat project and the author's Google/Tailscale background also matched first-party sources. Most remaining assertions are opinions, personal observations, predictions, or qualitative judgments outside the requested standard.",[],[],[],"[{""title"": ""Devtools must be open source"", ""publisher"": ""exe.dev"", ""url"": ""https://blog.exe.dev/devtools-must-be-open-source""}, {""title"": ""Codex CLI repository"", ""publisher"": ""OpenAI on GitHub"", ""url"": ""https://github.com/openai/codex""}, {""title"": ""Codex Apache 2.0 license"", ""publisher"": ""OpenAI on GitHub"", ""url"": ""https://raw.githubusercontent.com/openai/codex/main/LICENSE""}, {""title"": ""Claude Code repository"", ""publisher"": ""Anthropic on GitHub"", ""url"": ""https://github.com/anthropics/claude-code""}, {""title"": ""Claude Code license"", ""publisher"": ""Anthropic on GitHub"", ""url"": ""https://raw.githubusercontent.com/anthropics/claude-code/main/LICENSE.md""}, {""title"": ""Pi Coding Agent"", ""publisher"": ""Pi"", ""url"": ""https://pi.dev/""}, {""title"": ""Pi repository"", ""publisher"": ""earendil-works on GitHub"", ""url"": ""https://github.com/earendil-works/pi""}, {""title"": ""Pi MIT license"", ""publisher"": ""earendil-works on GitHub"", ""url"": ""https://raw.githubusercontent.com/earendil-works/pi/main/LICENSE""}, {""title"": ""Shelley - exe.dev's Coding Agent"", ""publisher"": ""exe.dev"", ""url"": ""https://exe.dev/shelley""}, {""title"": ""Shelley repository"", ""publisher"": ""boldsoftware on GitHub"", ""url"": ""https://github.com/boldsoftware/shelley""}, {""title"": ""meat.dev"", ""publisher"": ""meat.dev"", ""url"": ""https://meat.dev""}, {""title"": ""Meat repository"", ""publisher"": ""boldsoftware on GitHub"", ""url"": ""https://github.com/boldsoftware/meat""}, {""title"": ""About"", ""publisher"": ""exe.dev"", ""url"": ""https://exe.dev/about""}, {""title"": ""monobit"", ""publisher"": ""Python Package Index"", ""url"": ""https://pypi.org/project/monobit/""}]"
